School,Type,Street Address,Zip Code,option_alt,latitude,longitude,geocode
Nova,high school,2410 E Cherry St. ,98122,N/A,-122.3011406,47.60802345,"{'address': '2410 E Cherry St, Seattle, Washington, 98122', 'location': {'x': -122.30114057643277, 'y': 47.608023453834306}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '2410 E Cherry St, Seattle, Washington, 98122', 'LongLabel': '2410 E Cherry St, Seattle, WA, 98122, USA', 'ShortLabel': '2410 E Cherry St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '2410 E Cherry St, Seattle, Washington, 98122', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '2410', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'E', 'StPreType': '', 'StName': 'Cherry', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '2410 E Cherry St', 'Block': '', 'Sector': '', 'Nbrhd': 'Mann', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98122', 'PostalExt': '4832', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.30114057643277, 'Y': 47.608023453834306, 'DisplayX': -122.300811, 'DisplayY': 47.608506000000006, 'Xmin': -122.30281099999999, 'Xmax': -122.298811, 'Ymin': 47.606506, 'Ymax': 47.61050600000001, 'ExInfo': ''}, 'extent': {'xmin': -122.30281099999999, 'ymin': 47.606506, 'xmax': -122.298811, 'ymax': 47.61050600000001}}"
Rainier Beach ,high school,8815 Seward Park Ave. S ,98118,N/A,-122.2646636,47.52410491,"{'address': '8815 Seward Park Ave S, Seattle, Washington, 98118', 'location': {'x': -122.2646635751911, 'y': 47.524104911737574}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '8815 Seward Park Ave S, Seattle, Washington, 98118', 'LongLabel': '8815 Seward Park Ave S, Seattle, WA, 98118, USA', 'ShortLabel': '8815 Seward Park Ave S', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '8815 Seward Park Ave S, Seattle, Washington, 98118', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '8815', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': 'Seward Park', 'StType': 'Ave', 'StDir': 'S', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '8815 Seward Park Ave S', 'Block': '', 'Sector': '', 'Nbrhd': 'Dunlap', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98118', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.2646635751911, 'Y': 47.524104911737574, 'DisplayX': -122.265873, 'DisplayY': 47.524077000000005, 'Xmin': -122.266873, 'Xmax': -122.264873, 'Ymin': 47.52307700000001, 'Ymax': 47.525077, 'ExInfo': ''}, 'extent': {'xmin': -122.266873, 'ymin': 47.52307700000001, 'xmax': -122.264873, 'ymax': 47.525077}}"
Roosevelt ,high school,1410 NE 66th St ,98115,N/A,-122.3126296,47.67656252,"{'address': '1410 NE 66th St, Seattle, Washington, 98115', 'location': {'x': -122.31262961365343, 'y': 47.67656251659018}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1410 NE 66th St, Seattle, Washington, 98115', 'LongLabel': '1410 NE 66th St, Seattle, WA, 98115, USA', 'ShortLabel': '1410 NE 66th St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1410 NE 66th St, Seattle, Washington, 98115', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1410', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'NE', 'StPreType': '', 'StName': '66th', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1410 NE 66th St', 'Block': '', 'Sector': '', 'Nbrhd': 'Roosevelt', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98115', 'PostalExt': '6744', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.31262961365343, 'Y': 47.67656251659018, 'DisplayX': -122.31261, 'DisplayY': 47.67736500000001, 'Xmin': -122.31461, 'Xmax': -122.31061000000001, 'Ymin': 47.675365000000006, 'Ymax': 47.67936500000001, 'ExInfo': ''}, 'extent': {'xmin': -122.31461, 'ymin': 47.675365000000006, 'xmax': -122.31061000000001, 'ymax': 47.67936500000001}}"
Sealth,high school,2600 SW Thistle St,98126,N/A,-122.3661606,47.52829946,"{'address': '2600 SW Thistle St, Seattle, Washington, 98126', 'location': {'x': -122.36616055536962, 'y': 47.528299464365894}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '2600 SW Thistle St, Seattle, Washington, 98126', 'LongLabel': '2600 SW Thistle St, Seattle, WA, 98126, USA', 'ShortLabel': '2600 SW Thistle St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '2600 SW Thistle St, Seattle, Washington, 98126', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '2600', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'SW', 'StPreType': '', 'StName': 'Thistle', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '2600 SW Thistle St', 'Block': '', 'Sector': '', 'Nbrhd': 'South Delridge', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98126', 'PostalExt': '3748', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.36616055536962, 'Y': 47.528299464365894, 'DisplayX': -122.366151, 'DisplayY': 47.52862200000001, 'Xmin': -122.367151, 'Xmax': -122.365151, 'Ymin': 47.527622000000015, 'Ymax': 47.52962200000001, 'ExInfo': ''}, 'extent': {'xmin': -122.367151, 'ymin': 47.527622000000015, 'xmax': -122.365151, 'ymax': 47.52962200000001}}"
Seattle World School,high school,1700 E. Union St.Ì_,98122,alternative and service,-122.30928,47.61293349,"{'address': '1700 E Union St, Seattle, Washington, 98122', 'location': {'x': -122.30928, 'y': 47.61293349379626}, 'score': 99.29, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 99.29, 'Match_addr': '1700 E Union St, Seattle, Washington, 98122', 'LongLabel': '1700 E Union St, Seattle, WA, 98122, USA', 'ShortLabel': '1700 E Union St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1700 E Union St, Seattle, Washington, 98122', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1700', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': 'E', 'StPreType': '', 'StName': 'Union', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1700 E Union St', 'Block': '', 'Sector': '', 'Nbrhd': 'Minor', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98122', 'PostalExt': '4140', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.30928, 'Y': 47.61293349379626, 'DisplayX': -122.30928, 'DisplayY': 47.61336600000001, 'Xmin': -122.31028, 'Xmax': -122.30828, 'Ymin': 47.612366000000016, 'Ymax': 47.61436600000001, 'ExInfo': 'AE'}, 'extent': {'xmin': -122.31028, 'ymin': 47.612366000000016, 'xmax': -122.30828, 'ymax': 47.61436600000001}}"
Skills Center,high school,unknown street,unknown zip,alternative and service,0,0,{}
South Lake ,high school,8601 Rainier Ave S ,98118,N/A,-122.2700137,47.52566061,"{'address': '8601 Rainier Ave S, Seattle, Washington, 98118', 'location': {'x': -122.27001370560852, 'y': 47.52566061226844}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '8601 Rainier Ave S, Seattle, Washington, 98118', 'LongLabel': '8601 Rainier Ave S, Seattle, WA, 98118, USA', 'ShortLabel': '8601 Rainier Ave S', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '8601 Rainier Ave S, Seattle, Washington, 98118', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '8601', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': 'Rainier', 'StType': 'Ave', 'StDir': 'S', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '8601 Rainier Ave S', 'Block': '', 'Sector': '', 'Nbrhd': 'Dunlap', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98118', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.27001370560852, 'Y': 47.52566061226844, 'DisplayX': -122.27091300000001, 'DisplayY': 47.52566999999999, 'Xmin': -122.27191300000001, 'Xmax': -122.269913, 'Ymin': 47.52466999999999, 'Ymax': 47.52666999999999, 'ExInfo': ''}, 'extent': {'xmin': -122.27191300000001, 'ymin': 47.52466999999999, 'xmax': -122.269913, 'ymax': 47.52666999999999}}"
West Seattle ,high school,3000 California Ave SW ,98116,N/A,-122.3867008,47.57697,"{'address': '3000 California Ave SW, Seattle, Washington, 98116', 'location': {'x': -122.38670078212914, 'y': 47.57697000000002}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3000 California Ave SW, Seattle, Washington, 98116', 'LongLabel': '3000 California Ave SW, Seattle, WA, 98116, USA', 'ShortLabel': '3000 California Ave SW', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3000 California Ave SW, Seattle, Washington, 98116', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3000', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': '', 'StPreType': '', 'StName': 'California', 'StType': 'Ave', 'StDir': 'SW', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3000 California Ave SW', 'Block': '', 'Sector': '', 'Nbrhd': 'North Admiral', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98116', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.38670078212914, 'Y': 47.57697000000002, 'DisplayX': -122.3852715, 'DisplayY': 47.57697000000002, 'Xmin': -122.3872715, 'Xmax': -122.3832715, 'Ymin': 47.574970000000015, 'Ymax': 47.57897000000002, 'ExInfo': ''}, 'extent': {'xmin': -122.3872715, 'ymin': 47.574970000000015, 'xmax': -122.3832715, 'ymax': 47.57897000000002}}"
"Addams, Jane",middle school,11051 34th Ave NE ,98125,N/A,-122.2921223,47.70983639,"{'address': '11051 34th Ave NE, Seattle, Washington, 98125', 'location': {'x': -122.29212227052878, 'y': 47.70983639217496}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '11051 34th Ave NE, Seattle, Washington, 98125', 'LongLabel': '11051 34th Ave NE, Seattle, WA, 98125, USA', 'ShortLabel': '11051 34th Ave NE', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '11051 34th Ave NE, Seattle, Washington, 98125', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '11051', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': '34th', 'StType': 'Ave', 'StDir': 'NE', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '11051 34th Ave NE', 'Block': '', 'Sector': '', 'Nbrhd': 'Meadowbrook', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98125', 'PostalExt': '6805', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.29212227052878, 'Y': 47.70983639217496, 'DisplayX': -122.29275150000001, 'DisplayY': 47.709855000000005, 'Xmin': -122.29375150000001, 'Xmax': -122.2917515, 'Ymin': 47.70885500000001, 'Ymax': 47.710855, 'ExInfo': ''}, 'extent': {'xmin': -122.29375150000001, 'ymin': 47.70885500000001, 'xmax': -122.2917515, 'ymax': 47.710855}}"
Denny,middle school,2601 SW Kenyon St ,98126,N/A,-122.366052,47.5318515,"{'address': '2601 SW Kenyon St, Seattle, Washington, 98126', 'location': {'x': -122.366052, 'y': 47.53185149509525}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '2601 SW Kenyon St, Seattle, Washington, 98126', 'LongLabel': '2601 SW Kenyon St, Seattle, WA, 98126, USA', 'ShortLabel': '2601 SW Kenyon St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '2601 SW Kenyon St, Seattle, Washington, 98126', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '2601', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'SW', 'StPreType': '', 'StName': 'Kenyon', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '2601 SW Kenyon St', 'Block': '', 'Sector': '', 'Nbrhd': 'South Delridge', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98126', 'PostalExt': '3562', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.366052, 'Y': 47.53185149509525, 'DisplayX': -122.366052, 'DisplayY': 47.531349000000006, 'Xmin': -122.367052, 'Xmax': -122.36505199999999, 'Ymin': 47.53034900000001, 'Ymax': 47.532349, 'ExInfo': ''}, 'extent': {'xmin': -122.367052, 'ymin': 47.53034900000001, 'xmax': -122.36505199999999, 'ymax': 47.532349}}"
 Robert Eagle Staff,middle school,1330 N. 90th Street,98103,N/A,-122.3405017,47.69418246,"{'address': '1330 N 90th St, Seattle, Washington, 98103', 'location': {'x': -122.34050172300768, 'y': 47.69418246220151}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1330 N 90th St, Seattle, Washington, 98103', 'LongLabel': '1330 N 90th St, Seattle, WA, 98103, USA', 'ShortLabel': '1330 N 90th St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1330 N 90th St, Seattle, Washington, 98103', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1330', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'N', 'StPreType': '', 'StName': '90th', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1330 N 90th St', 'Block': '', 'Sector': '', 'Nbrhd': 'North College Park', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98103', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.34050172300768, 'Y': 47.69418246220151, 'DisplayX': -122.340492, 'DisplayY': 47.69509500000001, 'Xmin': -122.342492, 'Xmax': -122.338492, 'Ymin': 47.69309500000001, 'Ymax': 47.69709500000001, 'ExInfo': ''}, 'extent': {'xmin': -122.342492, 'ymin': 47.69309500000001, 'xmax': -122.338492, 'ymax': 47.69709500000001}}"
Eckstein,middle school,3003 NE 75th St ,98115,N/A,-122.294861,47.68301751,"{'address': '3003 NE 75th St, Seattle, Washington, 98115', 'location': {'x': -122.29486102553523, 'y': 47.68301750620377}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3003 NE 75th St, Seattle, Washington, 98115', 'LongLabel': '3003 NE 75th St, Seattle, WA, 98115, USA', 'ShortLabel': '3003 NE 75th St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3003 NE 75th St, Seattle, Washington, 98115', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3003', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'NE', 'StPreType': '', 'StName': '75th', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3003 NE 75th St', 'Block': '', 'Sector': '', 'Nbrhd': 'Ravenna', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98115', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.29486102553523, 'Y': 47.68301750620377, 'DisplayX': -122.294871, 'DisplayY': 47.68258500000002, 'Xmin': -122.295871, 'Xmax': -122.293871, 'Ymin': 47.68158500000002, 'Ymax': 47.683585000000015, 'ExInfo': ''}, 'extent': {'xmin': -122.295871, 'ymin': 47.68158500000002, 'xmax': -122.293871, 'ymax': 47.683585000000015}}"
Hamilton,middle school,1610 N 41st St ,98103,N/A,-122.3380215,47.65684551,"{'address': '1610 N 41st St, Seattle, Washington, 98103', 'location': {'x': -122.3380215, 'y': 47.656845508799904}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1610 N 41st St, Seattle, Washington, 98103', 'LongLabel': '1610 N 41st St, Seattle, WA, 98103, USA', 'ShortLabel': '1610 N 41st St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1610 N 41st St, Seattle, Washington, 98103', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1610', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': 'N', 'StPreType': '', 'StName': '41st', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1610 N 41st St', 'Block': '', 'Sector': '', 'Nbrhd': 'Wallingford', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98103', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.3380215, 'Y': 47.656845508799904, 'DisplayX': -122.3380215, 'DisplayY': 47.65744800000002, 'Xmin': -122.34002149999999, 'Xmax': -122.3360215, 'Ymin': 47.655448000000014, 'Ymax': 47.65944800000002, 'ExInfo': ''}, 'extent': {'xmin': -122.34002149999999, 'ymin': 47.655448000000014, 'xmax': -122.3360215, 'ymax': 47.65944800000002}}"
Aki Kurose,middle school,3928 S Graham St ,98118,N/A,-122.2820016,47.54603247,"{'address': '3928 S Graham St, Seattle, Washington, 98118', 'location': {'x': -122.28200155536962, 'y': 47.54603247157924}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3928 S Graham St, Seattle, Washington, 98118', 'LongLabel': '3928 S Graham St, Seattle, WA, 98118, USA', 'ShortLabel': '3928 S Graham St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3928 S Graham St, Seattle, Washington, 98118', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3928', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'S', 'StPreType': '', 'StName': 'Graham', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3928 S Graham St', 'Block': '', 'Sector': '', 'Nbrhd': 'Columbia City', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98118', 'PostalExt': '3172', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.28200155536962, 'Y': 47.54603247157924, 'DisplayX': -122.281992, 'DisplayY': 47.546324999999996, 'Xmin': -122.28299200000001, 'Xmax': -122.280992, 'Ymin': 47.545325, 'Ymax': 47.547324999999994, 'ExInfo': ''}, 'extent': {'xmin': -122.28299200000001, 'ymin': 47.545325, 'xmax': -122.280992, 'ymax': 47.547324999999994}}"
Madison,middle school,3429 45th Ave SW ,98116,N/A,-122.3895142,47.57298233,"{'address': '3429 45th Ave SW, Seattle, Washington, 98116', 'location': {'x': -122.38951423446196, 'y': 47.57298232944774}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3429 45th Ave SW, Seattle, Washington, 98116', 'LongLabel': '3429 45th Ave SW, Seattle, WA, 98116, USA', 'ShortLabel': '3429 45th Ave SW', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3429 45th Ave SW, Seattle, Washington, 98116', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3429', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': '45th', 'StType': 'Ave', 'StDir': 'SW', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3429 45th Ave SW', 'Block': '', 'Sector': '', 'Nbrhd': 'North Admiral', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98116', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.38951423446196, 'Y': 47.57298232944774, 'DisplayX': -122.3902935, 'DisplayY': 47.572982999999994, 'Xmin': -122.3912935, 'Xmax': -122.3892935, 'Ymin': 47.571982999999996, 'Ymax': 47.57398299999999, 'ExInfo': ''}, 'extent': {'xmin': -122.3912935, 'ymin': 47.571982999999996, 'xmax': -122.3892935, 'ymax': 47.57398299999999}}"
McClure,middle school,1915 1st Ave W ,98119,N/A,-122.3583427,47.63682037,"{'address': '1915 1st Ave W, Seattle, Washington, 98119', 'location': {'x': -122.35834269392309, 'y': 47.63682036663974}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1915 1st Ave W, Seattle, Washington, 98119', 'LongLabel': '1915 1st Ave W, Seattle, WA, 98119, USA', 'ShortLabel': '1915 1st Ave W', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1915 1st Ave W, Seattle, Washington, 98119', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1915', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': '1st', 'StType': 'Ave', 'StDir': 'W', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1915 1st Ave W', 'Block': '', 'Sector': '', 'Nbrhd': 'West Queen Anne', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98119', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.35834269392309, 'Y': 47.63682036663974, 'DisplayX': -122.358942, 'DisplayY': 47.636829000000006, 'Xmin': -122.359942, 'Xmax': -122.357942, 'Ymin': 47.63582900000001, 'Ymax': 47.637829, 'ExInfo': ''}, 'extent': {'xmin': -122.359942, 'ymin': 47.63582900000001, 'xmax': -122.357942, 'ymax': 47.637829}}"
